                                                                                IPDPS HALL OF FAME                                                                                
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Author				' 91 ' 92 ' 93 ' 94 ' 95 ' 96 ' 97 ' 98 ' 99 ' 00 ' 01 ' 02 ' 03 ' 04 ' 05 ' 06 ' 07 ' 08 ' 09 ' 10 ' 11 ' 12 ' 13 ' 14 ' 15 ' 16 ' 17 ' 18 ' 19 ' 20 

Mateo Valero			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  0  |  1  |  1  |  3  |  1  |  1  |  1  |  1  |  1  |  1  |  1  |  4  |  0  |  0  |  0       ||     18
Joel H. Saltz			|  0  |  0  |  0  |  0  |  2  |  1  |  2  |  0  |  1  |  1  |  0  |  0  |  1  |  0  |  0  |  1  |  2  |  3  |  1  |  0  |  0  |  1  |  1  |  1  |  0  |  0  |  0  |  0  |  0  |  0       ||     18
Jeffrey S. Vetter			|  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  1  |  0  |  0  |  1  |  0  |  0  |  1  |  1  |  1  |  2  |  1  |  0  |  0  |  2  |  0  |  1  |  0  |  1  |  2  |  2  |  1  |  0       ||     18
Anne Benoit			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  1  |  3  |  5  |  2  |  1  |  2  |  0  |  0  |  1  |  1  |  0  |  0  |  1  |  0       ||     18
Albert Y. Zomaya			|  0  |  0  |  0  |  0  |  0  |  0  |  1  |  2  |  2  |  0  |  1  |  1  |  1  |  0  |  0  |  1  |  2  |  3  |  1  |  1  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  1  |  0       ||     18
Tahsin M. Kurç			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  3  |  1  |  0  |  1  |  2  |  2  |  3  |  1  |  0  |  0  |  1  |  1  |  1  |  0  |  0  |  0  |  0  |  0  |  0       ||     17
Karsten Schwan			|  0  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  2  |  4  |  1  |  1  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  0  |  2  |  1  |  0  |  0  |  0  |  0  |  0  |  0       ||     17
Jie Wu				|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  1  |  1  |  1  |  6  |  2  |  1  |  0  |  1  |  1  |  1  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     17
Stephan Olariu			|  0  |  1  |  0  |  2  |  1  |  1  |  2  |  3  |  3  |  0  |  0  |  1  |  1  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     16
Richard W. Vuduc			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  3  |  0  |  0  |  2  |  1  |  2  |  1  |  1  |  2  |  1  |  0       ||     16
Michela Taufer			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  1  |  2  |  1  |  3  |  1  |  1  |  2  |  0  |  0  |  0  |  1  |  0  |  0  |  1  |  0  |  0  |  1       ||     16
Leonid Oliker			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  1  |  1  |  1  |  0  |  0  |  0  |  1  |  1  |  1  |  3  |  1  |  0  |  1  |  0  |  2  |  1  |  0  |  0  |  0  |  1       ||     16
Jarek Nieplocha			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  1  |  1  |  3  |  1  |  2  |  2  |  4  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     16
Hong Jiang			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  2  |  0  |  0  |  0  |  0  |  0  |  0  |  3  |  1  |  1  |  0  |  1  |  1  |  0  |  1  |  2  |  2  |  1       ||     16
Prithviraj Banerjee			|  1  |  1  |  1  |  1  |  2  |  1  |  2  |  2  |  3  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     15
